user_id,product_id,purchase_date,quantity,price_paid_per_unit,total_price_paid,discount_percent,product_diet_type,user_diet_type
U0286,P0255,2025-05-22,1,148.24,148.24,10,green,yellow
U0224,P0010,2025-06-02,1,280.37,280.37,0,red,red
U0235,P0024,2025-06-15,2,87.18,174.36,20,red,red
U0298,P0307,2025-06-17,3,34.02,102.06,50,red,red
U0159,P0204,2025-06-02,1,31.66,31.66,50,red,red
U0214,P0298,2025-06-26,3,361.91,1085.73,10,green,yellow
U0231,P0256,2025-06-20,1,241.01,241.01,20,green,green
U0204,P0140,2025-06-23,2,406.15,812.3,0,green,green
U0269,P0170,2025-06-19,1,50.68,50.68,50,yellow,yellow
U0068,P0417,2025-06-21,3,161.46,484.38,50,green,green
U0298,P0261,2025-06-02,2,344.22,688.44,0,yellow,red
U0177,P0441,2025-06-28,1,243.27,243.27,30,red,red
U0181,P0236,2025-06-09,3,76.88,230.64,50,yellow,red
U0274,P0030,2025-05-24,2,182.31,364.62,30,green,green
U0141,P0010,2025-06-16,2,280.37,560.74,0,red,red
U0281,P0006,2025-06-07,2,184.06,368.12,0,green,green
U0022,P0336,2025-06-28,2,387.65,775.3,10,yellow,red
U0208,P0206,2025-06-15,2,178.51,357.02,0,yellow,red
U0180,P0202,2025-06-27,1,157.68,157.68,50,green,green
U0038,P0316,2025-06-09,1,126.65,126.65,40,green,green
U0010,P0404,2025-06-03,1,310.93,310.93,30,green,green
U0228,P0136,2025-06-27,2,143.28,286.56,40,green,green
U0205,P0498,2025-05-19,3,364.3,1092.9,0,green,green
U0213,P0167,2025-06-25,1,158.52,158.52,40,green,green
U0071,P0111,2025-06-11,3,130.21,390.63,50,yellow,red
U0017,P0037,2025-06-28,1,64.73,64.73,30,green,green
U0269,P0387,2025-06-16,2,130.88,261.76,0,green,yellow
U0215,P0113,2025-06-18,1,198.35,198.35,30,red,red
U0275,P0081,2025-06-16,2,277.13,554.26,10,green,green
U0113,P0113,2025-06-25,1,198.35,198.35,30,red,red
U0060,P0118,2025-06-26,3,365.85,1097.55,0,red,red
U0264,P0324,2025-05-26,3,41.47,124.41,30,yellow,red
U0124,P0188,2025-05-19,3,345.77,1037.31,30,green,green
U0174,P0480,2025-05-25,2,327.61,655.22,20,green,green
U0021,P0248,2025-06-27,2,316.9,633.8,20,green,red
U0206,P0116,2025-05-09,1,63.31,63.31,10,green,red
U0294,P0153,2025-05-26,2,214.86,429.72,50,green,green
U0247,P0033,2025-06-11,3,145.14,435.42,30,green,red
U0185,P0499,2025-06-20,3,354.69,1064.07,0,green,yellow
U0014,P0458,2025-06-22,3,205.1,615.3,40,green,green
U0117,P0068,2025-06-25,1,105.08,105.08,10,green,yellow
U0137,P0452,2025-06-17,3,292.08,876.24,20,green,yellow
U0100,P0081,2025-06-25,3,277.13,831.39,10,green,red
U0151,P0367,2025-06-14,3,121.22,363.66,20,green,red
U0058,P0205,2025-05-10,2,221.2,442.4,10,yellow,yellow
U0101,P0121,2025-06-17,2,176.89,353.78,40,red,red
U0286,P0458,2025-06-13,2,205.1,410.2,40,green,yellow
U0060,P0226,2025-05-19,2,452.56,905.12,0,red,red
U0054,P0475,2025-06-27,2,233.67,467.34,30,green,green
U0289,P0451,2025-05-29,1,242.59,242.59,40,red,red
U0023,P0310,2025-06-26,3,246.54,739.62,20,yellow,yellow
U0245,P0426,2025-06-03,1,272.26,272.26,40,green,red
U0103,P0377,2025-05-07,3,45.7,137.1,20,green,red
U0267,P0201,2025-06-08,3,129.62,388.86,50,red,red
U0221,P0293,2025-06-14,3,63.64,190.92,0,green,green
U0041,P0196,2025-05-24,3,151.43,454.29,40,green,red
U0003,P0352,2025-06-18,2,208.64,417.28,0,yellow,yellow
U0112,P0470,2025-06-12,1,315.28,315.28,20,green,yellow
U0167,P0058,2025-06-27,3,283.64,850.92,30,green,green
U0032,P0058,2025-06-26,1,283.64,283.64,30,green,green
U0041,P0042,2025-06-21,3,294.97,884.91,30,red,red
U0086,P0438,2025-06-17,2,257.54,515.08,10,green,green
U0241,P0444,2025-06-24,3,443.4,1330.2,0,green,yellow
U0034,P0314,2025-06-21,2,78.34,156.68,50,green,green
U0050,P0417,2025-06-23,3,161.46,484.38,50,green,yellow
U0196,P0238,2025-05-02,3,293.15,879.45,10,red,red
U0262,P0406,2025-05-20,2,239.0,478.0,0,green,yellow
U0189,P0498,2025-06-05,3,364.3,1092.9,0,green,green
U0249,P0452,2025-06-14,3,292.08,876.24,20,green,yellow
U0124,P0031,2025-05-29,2,327.73,655.46,0,green,green
U0159,P0029,2025-05-20,3,421.73,1265.19,0,green,red
U0275,P0128,2025-05-31,2,167.44,334.88,50,green,green
U0263,P0273,2025-06-25,3,241.87,725.61,40,green,red
U0120,P0444,2025-06-19,2,443.4,886.8,0,green,green
U0070,P0366,2025-06-24,1,291.72,291.72,0,green,yellow
U0068,P0053,2025-06-24,1,144.01,144.01,50,green,green
U0258,P0281,2025-06-23,1,346.43,346.43,0,green,green
U0234,P0346,2025-06-24,2,126.83,253.66,0,green,green
U0251,P0421,2025-05-31,2,490.27,980.54,0,yellow,red
U0070,P0261,2025-06-05,1,344.22,344.22,0,yellow,yellow
U0293,P0299,2025-06-28,2,83.94,167.88,40,green,red
U0120,P0355,2025-06-20,3,165.14,495.42,40,green,green
U0034,P0258,2025-06-08,1,75.98,75.98,20,green,green
U0059,P0108,2025-06-26,2,235.74,471.48,0,green,yellow
U0016,P0136,2025-06-20,2,143.28,286.56,40,green,green
U0229,P0166,2025-06-15,2,242.07,484.14,50,green,red
U0019,P0282,2025-06-26,1,279.66,279.66,20,red,red
U0024,P0478,2025-06-27,1,169.69,169.69,30,green,yellow
U0168,P0108,2025-06-25,3,235.74,707.22,0,green,green
U0013,P0357,2025-05-26,1,75.67,75.67,50,green,green
U0220,P0428,2025-06-16,2,490.45,980.9,0,green,yellow
U0038,P0094,2025-06-21,2,43.87,87.74,30,green,green
U0102,P0137,2025-06-28,2,168.92,337.84,30,green,red
U0222,P0402,2025-06-16,1,281.92,281.92,40,green,green
U0034,P0400,2025-06-21,1,38.96,38.96,30,green,green
U0069,P0086,2025-06-11,1,268.34,268.34,20,yellow,red
U0000,P0214,2025-06-09,2,327.11,654.22,30,green,green
U0092,P0263,2025-06-26,3,168.95,506.85,50,green,red
U0114,P0217,2025-06-19,1,58.48,58.48,40,green,yellow
U0191,P0497,2025-06-06,1,162.82,162.82,0,yellow,red
U0172,P0414,2025-06-26,2,255.74,511.48,20,green,green
U0119,P0186,2025-06-01,1,346.98,346.98,30,yellow,yellow
U0205,P0490,2025-06-25,2,339.64,679.28,0,green,green
U0158,P0144,2025-06-27,1,458.49,458.49,0,yellow,red
U0013,P0135,2025-05-29,1,49.56,49.56,50,green,green
U0282,P0168,2025-06-25,1,92.96,92.96,50,green,red
U0260,P0095,2025-06-26,2,123.72,247.44,30,green,red
U0104,P0094,2025-06-23,2,43.87,87.74,30,green,red
U0160,P0224,2025-06-10,2,285.32,570.64,40,yellow,red
U0230,P0186,2025-06-11,2,346.98,693.96,30,yellow,yellow
U0002,P0165,2025-06-03,3,341.35,1024.05,0,green,green
U0087,P0104,2025-05-12,2,75.46,150.92,50,green,red
U0087,P0467,2025-06-09,1,347.84,347.84,0,red,red
U0241,P0051,2025-06-05,3,481.03,1443.09,0,yellow,yellow
U0257,P0349,2025-06-04,2,167.14,334.28,40,yellow,yellow
U0169,P0029,2025-05-12,3,421.73,1265.19,0,green,red
U0263,P0092,2025-06-11,3,59.5,178.5,30,red,red
U0178,P0055,2025-06-03,3,441.4,1324.2,0,green,red
U0165,P0075,2025-06-28,3,212.94,638.82,50,green,green
U0298,P0241,2025-06-28,3,146.06,438.18,50,yellow,red
U0102,P0228,2025-06-27,1,139.58,139.58,20,red,red
U0161,P0498,2025-06-27,3,364.3,1092.9,0,green,yellow
U0188,P0404,2025-06-13,1,310.93,310.93,30,green,red
U0040,P0078,2025-06-10,2,35.42,70.84,40,green,red
U0285,P0336,2025-06-28,3,387.65,1162.95,10,yellow,red
U0048,P0026,2025-06-21,2,91.68,183.36,40,yellow,yellow
U0294,P0196,2025-06-06,1,151.43,151.43,40,green,green
U0052,P0342,2025-06-23,2,165.93,331.86,0,yellow,yellow
U0153,P0489,2025-06-28,2,159.82,319.64,30,green,green
U0187,P0428,2025-06-15,2,490.45,980.9,0,green,yellow
U0276,P0128,2025-06-14,1,167.44,167.44,50,green,green
U0027,P0410,2025-06-21,3,139.93,419.79,50,green,green
U0262,P0414,2025-06-25,2,255.74,511.48,20,green,yellow
U0113,P0295,2025-06-20,2,167.47,334.94,40,red,red
U0044,P0082,2025-06-20,3,30.85,92.55,40,green,red
U0294,P0265,2025-06-04,3,58.11,174.33,30,green,green
U0232,P0231,2025-05-26,2,294.79,589.58,40,green,red
U0033,P0281,2025-05-10,1,346.43,346.43,0,green,green
U0108,P0074,2025-06-16,2,56.1,112.2,30,green,green
U0187,P0416,2025-06-26,1,60.89,60.89,0,yellow,yellow
U0003,P0275,2025-05-03,1,265.49,265.49,0,yellow,yellow
U0150,P0044,2025-06-05,1,96.24,96.24,20,green,red
U0209,P0446,2025-06-03,1,230.0,230.0,10,green,green
U0021,P0045,2025-06-06,1,159.88,159.88,50,red,red
U0022,P0434,2025-06-27,3,425.02,1275.06,10,yellow,red
U0163,P0298,2025-06-17,3,361.91,1085.73,10,green,yellow
U0218,P0149,2025-06-05,3,238.78,716.34,30,green,green
U0045,P0093,2025-06-28,2,157.54,315.08,20,green,green
U0194,P0437,2025-06-24,2,321.97,643.94,10,green,green
U0137,P0254,2025-05-28,1,105.25,105.25,50,green,yellow
U0016,P0367,2025-06-12,1,121.22,121.22,20,green,green
U0030,P0280,2025-06-15,3,307.25,921.75,0,green,green
U0245,P0176,2025-05-09,1,153.59,153.59,0,red,red
U0112,P0096,2025-05-28,3,114.56,343.68,20,green,yellow
U0269,P0265,2025-06-22,2,58.11,116.22,30,green,yellow
U0201,P0292,2025-06-05,2,118.22,236.44,40,red,red
U0195,P0084,2025-05-27,3,209.74,629.22,50,yellow,yellow
U0222,P0140,2025-06-28,1,406.15,406.15,0,green,green
U0231,P0389,2025-05-30,3,201.22,603.66,10,green,green
U0156,P0318,2025-06-17,1,104.37,104.37,50,red,red
U0297,P0484,2025-06-25,1,111.77,111.77,0,green,yellow
U0097,P0443,2025-06-21,2,214.5,429.0,50,green,green
U0271,P0190,2025-06-10,2,326.94,653.88,0,red,red
U0056,P0211,2025-05-07,2,211.57,423.14,40,green,green
U0056,P0080,2025-06-21,3,316.96,950.88,30,green,green
U0098,P0284,2025-06-26,2,35.65,71.3,50,yellow,yellow
U0221,P0016,2025-06-22,3,312.57,937.71,20,green,green
U0253,P0114,2025-05-23,2,278.68,557.36,20,green,green
U0196,P0345,2025-06-28,2,171.22,342.44,20,yellow,red
U0221,P0108,2025-06-23,3,235.74,707.22,0,green,green
U0193,P0037,2025-06-28,3,64.73,194.19,30,green,red
U0007,P0082,2025-05-31,1,30.85,30.85,40,green,yellow
U0172,P0460,2025-06-22,3,188.45,565.35,40,green,green
U0072,P0169,2025-05-29,2,310.06,620.12,20,green,yellow
U0278,P0166,2025-06-24,3,242.07,726.21,50,green,yellow
U0283,P0490,2025-06-26,1,339.64,339.64,0,green,green
U0182,P0362,2025-05-24,1,380.71,380.71,20,green,green
U0105,P0087,2025-05-09,3,164.7,494.1,20,green,green
U0211,P0073,2025-05-26,2,236.53,473.06,40,green,green
U0050,P0487,2025-06-13,2,181.96,363.92,0,green,yellow
U0177,P0388,2025-06-21,1,64.04,64.04,0,green,red
U0237,P0185,2025-06-25,2,189.75,379.5,10,red,red
U0201,P0213,2025-06-12,2,103.82,207.64,20,red,red
U0098,P0489,2025-06-28,2,159.82,319.64,30,green,yellow
U0279,P0161,2025-06-12,3,81.39,244.17,50,green,green
U0032,P0033,2025-06-14,3,145.14,435.42,30,green,green
U0019,P0112,2025-06-05,2,131.79,263.58,20,red,red
U0212,P0048,2025-05-28,3,246.05,738.15,20,green,green
U0183,P0492,2025-06-25,3,362.3,1086.9,20,red,red
U0216,P0455,2025-06-26,2,291.83,583.66,40,yellow,red
U0292,P0404,2025-05-30,3,310.93,932.79,30,green,yellow
U0037,P0275,2025-06-23,1,265.49,265.49,0,yellow,yellow
U0132,P0293,2025-06-21,2,63.64,127.28,0,green,yellow
U0225,P0404,2025-05-09,3,310.93,932.79,30,green,green
U0076,P0037,2025-06-28,2,64.73,129.46,30,green,green
U0029,P0086,2025-05-13,3,268.34,805.02,20,yellow,red
U0282,P0214,2025-06-10,3,327.11,981.33,30,green,red
U0279,P0499,2025-06-15,1,354.69,354.69,0,green,green
U0029,P0473,2025-06-26,1,323.03,323.03,30,yellow,red
U0197,P0306,2025-05-11,1,163.15,163.15,40,green,green
U0072,P0437,2025-06-19,3,321.97,965.91,10,green,yellow
U0216,P0245,2025-06-10,3,90.89,272.67,20,red,red
U0074,P0295,2025-06-19,3,167.47,502.41,40,red,red
U0273,P0073,2025-06-12,3,236.53,709.59,40,green,green
U0290,P0223,2025-06-07,3,288.82,866.46,20,green,green
U0050,P0166,2025-05-10,2,242.07,484.14,50,green,yellow
U0025,P0093,2025-06-18,3,157.54,472.62,20,green,green
U0116,P0120,2025-06-28,1,349.8,349.8,30,green,green
U0129,P0233,2025-06-26,1,496.94,496.94,0,red,red
U0055,P0125,2025-05-24,1,93.18,93.18,30,green,green
U0099,P0119,2025-06-10,2,117.1,234.2,30,green,green
U0214,P0294,2025-06-08,1,61.05,61.05,30,yellow,yellow
U0153,P0073,2025-06-20,2,236.53,473.06,40,green,green
U0170,P0389,2025-06-26,3,201.22,603.66,10,green,red
U0000,P0030,2025-06-17,3,182.31,546.93,30,green,green
U0160,P0203,2025-06-27,3,49.75,149.25,40,red,red
U0207,P0230,2025-06-26,3,373.5,1120.5,20,red,red
U0196,P0188,2025-06-04,2,345.77,691.54,30,green,red
U0226,P0120,2025-06-23,3,349.8,1049.4,30,green,red
U0156,P0186,2025-06-02,3,346.98,1040.94,30,yellow,red
U0152,P0217,2025-06-02,1,58.48,58.48,40,green,red
U0263,P0266,2025-06-24,1,249.82,249.82,40,red,red
U0164,P0458,2025-06-12,1,205.1,205.1,40,green,green
U0045,P0346,2025-06-20,1,126.83,126.83,0,green,green
U0253,P0033,2025-06-25,3,145.14,435.42,30,green,green
U0117,P0144,2025-06-21,2,458.49,916.98,0,yellow,yellow
U0096,P0417,2025-06-23,2,161.46,322.92,50,green,red
U0044,P0079,2025-06-10,3,491.69,1475.07,0,red,red
U0014,P0411,2025-06-26,2,74.12,148.24,30,green,green
U0006,P0155,2025-06-18,2,72.17,144.34,50,red,red
U0047,P0452,2025-05-18,2,292.08,584.16,20,green,red
U0299,P0383,2025-06-25,3,334.31,1002.93,20,green,yellow
U0156,P0195,2025-06-27,3,106.57,319.71,40,green,red
U0287,P0161,2025-06-20,1,81.39,81.39,50,green,yellow
U0166,P0269,2025-06-07,2,348.58,697.16,20,green,yellow
U0029,P0022,2025-06-12,2,303.04,606.08,10,red,red
U0044,P0285,2025-05-21,2,280.76,561.52,40,red,red
U0286,P0436,2025-05-26,3,182.83,548.49,50,green,yellow
U0103,P0251,2025-06-23,2,374.87,749.74,20,green,red
U0260,P0491,2025-06-18,1,253.64,253.64,40,green,red
U0056,P0198,2025-06-28,1,278.39,278.39,0,green,green
U0159,P0267,2025-06-06,3,35.89,107.67,40,yellow,red
U0000,P0053,2025-06-24,2,144.01,288.02,50,green,green
U0218,P0135,2025-05-23,2,49.56,99.12,50,green,green
U0056,P0465,2025-05-13,3,31.28,93.84,50,green,green
U0140,P0113,2025-06-26,1,198.35,198.35,30,red,red
U0168,P0471,2025-06-25,3,292.35,877.05,0,green,green
U0015,P0336,2025-06-27,2,387.65,775.3,10,yellow,yellow
U0097,P0316,2025-06-17,1,126.65,126.65,40,green,green
U0236,P0264,2025-06-27,2,307.1,614.2,10,green,green
U0006,P0226,2025-06-05,3,452.56,1357.68,0,red,red
U0051,P0306,2025-06-08,1,163.15,163.15,40,green,yellow
U0161,P0174,2025-05-27,1,166.17,166.17,40,yellow,yellow
U0044,P0146,2025-06-18,2,98.61,197.22,40,red,red
U0164,P0436,2025-05-15,2,182.83,365.66,50,green,green
U0015,P0330,2025-06-08,1,153.42,153.42,50,yellow,yellow
U0205,P0471,2025-06-27,1,292.35,292.35,0,green,green
U0052,P0437,2025-06-23,3,321.97,965.91,10,green,yellow
U0015,P0081,2025-06-18,1,277.13,277.13,10,green,yellow
U0064,P0491,2025-06-19,2,253.64,507.28,40,green,green
U0026,P0366,2025-06-25,1,291.72,291.72,0,green,green
U0159,P0104,2025-06-25,3,75.46,226.38,50,green,red
U0075,P0104,2025-06-14,3,75.46,226.38,50,green,yellow
U0081,P0311,2025-06-24,3,168.47,505.41,20,yellow,yellow
U0095,P0167,2025-05-18,2,158.52,317.04,40,green,red
U0264,P0271,2025-06-18,3,194.02,582.06,0,red,red
U0001,P0154,2025-06-20,2,127.48,254.96,50,green,green
U0089,P0116,2025-05-12,3,63.31,189.93,10,green,green
U0087,P0169,2025-06-11,3,310.06,930.18,20,green,red
U0040,P0025,2025-06-20,2,77.32,154.64,30,yellow,red
U0097,P0033,2025-05-20,1,145.14,145.14,30,green,green
U0048,P0308,2025-06-24,3,227.29,681.87,20,yellow,yellow
U0132,P0154,2025-05-26,1,127.48,127.48,50,green,yellow
U0055,P0306,2025-05-12,2,163.15,326.3,40,green,green
U0213,P0137,2025-06-16,3,168.92,506.76,30,green,green
U0027,P0300,2025-06-16,2,154.57,309.14,0,green,green
U0192,P0053,2025-06-24,1,144.01,144.01,50,green,red
U0274,P0417,2025-06-19,1,161.46,161.46,50,green,green
U0242,P0105,2025-06-24,3,195.46,586.38,50,green,yellow
U0045,P0068,2025-06-26,3,105.08,315.24,10,green,green
U0036,P0116,2025-05-08,1,63.31,63.31,10,green,green
U0185,P0044,2025-06-11,2,96.24,192.48,20,green,yellow
U0161,P0347,2025-06-03,3,122.25,366.75,40,yellow,yellow
U0105,P0169,2025-06-12,3,310.06,930.18,20,green,green
U0200,P0275,2025-05-27,3,265.49,796.47,0,yellow,red
U0186,P0039,2025-06-25,1,139.15,139.15,20,green,green
U0284,P0418,2025-06-26,1,243.4,243.4,50,yellow,red
U0106,P0491,2025-06-11,1,253.64,253.64,40,green,red
U0249,P0406,2025-06-15,1,239.0,239.0,0,green,yellow
U0268,P0368,2025-06-20,2,175.22,350.44,20,red,red
U0267,P0174,2025-05-16,1,166.17,166.17,40,yellow,red
U0085,P0108,2025-06-28,3,235.74,707.22,0,green,green
U0113,P0446,2025-06-04,2,230.0,460.0,10,green,red
U0281,P0329,2025-06-09,2,262.02,524.04,40,green,green
U0010,P0374,2025-06-28,2,151.37,302.74,50,green,green
U0104,P0148,2025-06-08,3,199.54,598.62,50,red,red
U0142,P0342,2025-06-19,1,165.93,165.93,0,yellow,red
U0045,P0169,2025-05-31,2,310.06,620.12,20,green,green
U0255,P0303,2025-06-26,1,269.46,269.46,30,green,yellow
U0222,P0447,2025-05-29,3,339.51,1018.53,20,green,green
U0067,P0417,2025-06-27,1,161.46,161.46,50,green,red
U0225,P0385,2025-06-26,3,70.03,210.09,20,green,green
U0031,P0019,2025-06-05,3,455.54,1366.62,0,red,red
U0011,P0315,2025-06-04,1,340.4,340.4,30,green,red
U0281,P0313,2025-05-24,3,174.27,522.81,20,green,green
U0108,P0128,2025-05-25,1,167.44,167.44,50,green,green
U0028,P0219,2025-06-02,1,243.75,243.75,50,green,red
U0072,P0489,2025-06-28,3,159.82,479.46,30,green,yellow
U0126,P0087,2025-05-10,3,164.7,494.1,20,green,yellow
U0258,P0114,2025-05-27,2,278.68,557.36,20,green,green
U0119,P0195,2025-06-27,1,106.57,106.57,40,green,yellow
U0125,P0093,2025-06-27,3,157.54,472.62,20,green,green
U0089,P0110,2025-06-26,3,260.15,780.45,30,green,green
U0001,P0030,2025-06-10,3,182.31,546.93,30,green,green
U0021,P0361,2025-06-02,3,258.48,775.44,30,yellow,red
U0090,P0126,2025-06-01,3,269.48,808.44,0,red,red
U0128,P0237,2025-06-18,3,193.92,581.76,50,green,green
U0295,P0023,2025-06-23,2,324.03,648.06,20,yellow,red
U0001,P0217,2025-05-29,3,58.48,175.44,40,green,green
U0184,P0061,2025-06-22,1,278.72,278.72,10,red,red
U0297,P0036,2025-06-14,2,86.94,173.88,10,green,yellow
U0132,P0030,2025-06-12,1,182.31,182.31,30,green,yellow
U0232,P0166,2025-05-23,1,242.07,242.07,50,green,red
U0082,P0473,2025-06-23,1,323.03,323.03,30,yellow,yellow
U0223,P0161,2025-06-14,3,81.39,244.17,50,green,yellow
U0075,P0124,2025-06-25,3,66.25,198.75,0,green,yellow
U0160,P0240,2025-06-27,3,333.7,1001.1,10,red,red
U0034,P0165,2025-06-15,1,341.35,341.35,0,green,green
U0158,P0307,2025-06-28,1,34.02,34.02,50,red,red
U0211,P0108,2025-06-25,2,235.74,471.48,0,green,green
U0126,P0181,2025-05-21,2,115.28,230.56,50,yellow,yellow
U0143,P0280,2025-06-24,1,307.25,307.25,0,green,green
U0014,P0087,2025-05-07,1,164.7,164.7,20,green,green
U0000,P0269,2025-06-15,2,348.58,697.16,20,green,green
U0254,P0301,2025-06-21,3,74.94,224.82,40,green,green
U0099,P0093,2025-06-20,2,157.54,315.08,20,green,green
U0268,P0371,2025-05-21,2,257.6,515.2,0,red,red
U0104,P0397,2025-06-08,1,248.44,248.44,40,green,red
U0008,P0415,2025-06-20,3,205.99,617.97,0,green,red
U0065,P0410,2025-05-30,1,139.93,139.93,50,green,red
U0209,P0139,2025-05-23,1,319.5,319.5,30,green,green
U0139,P0387,2025-06-25,2,130.88,261.76,0,green,green
U0270,P0469,2025-06-22,2,332.57,665.14,30,green,green
U0179,P0203,2025-06-25,2,49.75,99.5,40,red,red
U0048,P0273,2025-06-25,1,241.87,241.87,40,green,yellow
U0005,P0326,2025-06-10,2,123.58,247.16,40,red,red
U0018,P0281,2025-06-26,1,346.43,346.43,0,green,green
U0002,P0436,2025-05-22,3,182.83,548.49,50,green,green
U0124,P0447,2025-06-21,3,339.51,1018.53,20,green,green
U0126,P0322,2025-06-20,3,406.68,1220.04,10,green,yellow
U0237,P0383,2025-06-25,3,334.31,1002.93,20,green,red
U0264,P0492,2025-06-24,3,362.3,1086.9,20,red,red
U0036,P0030,2025-06-13,3,182.31,546.93,30,green,green
U0057,P0173,2025-05-28,2,168.87,337.74,10,yellow,yellow
U0291,P0236,2025-05-24,3,76.88,230.64,50,yellow,red
U0233,P0454,2025-05-10,2,211.93,423.86,50,red,red
U0070,P0064,2025-06-18,1,357.34,357.34,20,yellow,yellow
U0189,P0447,2025-06-18,2,339.51,679.02,20,green,green
U0028,P0105,2025-06-25,2,195.46,390.92,50,green,red
U0050,P0175,2025-06-23,1,45.86,45.86,20,green,yellow
U0055,P0142,2025-05-30,1,79.44,79.44,10,green,green
U0185,P0349,2025-06-04,3,167.14,501.42,40,yellow,yellow
U0181,P0319,2025-06-20,1,135.45,135.45,0,green,red
U0153,P0120,2025-06-27,2,349.8,699.6,30,green,green
U0023,P0053,2025-06-27,2,144.01,288.02,50,green,yellow
U0193,P0063,2025-06-06,1,230.9,230.9,50,red,red
U0132,P0294,2025-06-05,3,61.05,183.15,30,yellow,yellow
U0067,P0149,2025-05-31,2,238.78,477.56,30,green,red
U0231,P0325,2025-06-23,2,203.38,406.76,50,green,green
U0071,P0332,2025-06-16,3,97.32,291.96,0,red,red
U0026,P0377,2025-06-15,2,45.7,91.4,20,green,green
U0097,P0125,2025-06-15,2,93.18,186.36,30,green,green
U0018,P0388,2025-06-10,2,64.04,128.08,0,green,green
U0183,P0236,2025-05-24,3,76.88,230.64,50,yellow,red
U0288,P0165,2025-06-17,1,341.35,341.35,0,green,green
U0171,P0149,2025-06-24,2,238.78,477.56,30,green,red
U0048,P0310,2025-06-18,1,246.54,246.54,20,yellow,yellow
U0193,P0097,2025-06-17,3,72.35,217.05,10,yellow,red
U0295,P0346,2025-06-27,1,126.83,126.83,0,green,red
