user_id,product_id,purchase_date,quantity,price_paid_per_unit,total_price_paid,discount_percent,product_diet_type,user_diet_type,days_to_expiry_at_purchase,user_engaged_with_deal
U0177,P0249,2025-06-21,2,258.33,516.66,30,vegan,vegetarian,105,1
U0108,P0082,2025-07-05,2,236.68,473.36,20,vegetarian,non-vegetarian,109,1
U0175,P0282,2025-06-21,2,141.47,282.94,30,eggs,non-vegetarian,78,1
U0125,P0004,2025-06-28,2,37.5,75.0,40,vegetarian,vegetarian,41,1
U0117,P0127,2025-07-09,2,263.45,526.9,30,vegan,vegetarian,130,0
U0187,P0140,2025-07-03,1,454.95,454.95,0,vegetarian,eggs,132,1
U0004,P0015,2025-07-04,2,71.08,142.16,50,eggs,non-vegetarian,69,1
U0157,P0008,2025-07-02,1,135.31,135.31,20,vegan,vegan,37,1
U0127,P0176,2025-07-06,2,422.64,845.28,10,non-vegetarian,non-vegetarian,62,0
U0076,P0241,2025-06-16,3,360.88,1082.64,10,eggs,non-vegetarian,40,0
U0024,P0033,2025-06-11,1,376.78,376.78,10,vegan,non-vegetarian,108,1
U0115,P0021,2025-06-20,3,45.75,137.25,50,vegan,eggs,157,1
U0116,P0269,2025-07-10,2,493.58,987.16,0,vegan,non-vegetarian,141,1
U0004,P0133,2025-06-13,3,117.77,353.31,30,non-vegetarian,non-vegetarian,97,0
U0015,P0104,2025-06-27,3,390.8,1172.4,20,eggs,eggs,119,1
U0044,P0175,2025-06-28,1,194.43,194.43,50,vegetarian,eggs,7,1
U0185,P0091,2025-07-03,3,336.34,1009.02,10,vegetarian,eggs,176,0
U0080,P0132,2025-07-02,2,121.16,242.32,30,eggs,eggs,71,0
U0175,P0255,2025-06-19,3,85.94,257.82,10,vegan,non-vegetarian,71,1
U0131,P0046,2025-07-08,1,192.46,192.46,10,vegetarian,non-vegetarian,96,0
U0020,P0140,2025-06-25,3,454.95,1364.85,0,vegetarian,non-vegetarian,140,1
U0014,P0208,2025-07-01,2,316.12,632.24,0,vegan,vegetarian,123,1
U0197,P0123,2025-06-17,1,153.99,153.99,40,eggs,non-vegetarian,71,0
U0057,P0125,2025-06-22,2,141.14,282.28,50,non-vegetarian,non-vegetarian,117,1
U0121,P0036,2025-06-20,1,154.71,154.71,10,vegetarian,non-vegetarian,98,1
U0175,P0239,2025-06-12,2,179.27,358.54,0,eggs,non-vegetarian,128,1
U0185,P0154,2025-07-08,2,270.07,540.14,0,vegetarian,eggs,98,1
U0139,P0092,2025-06-14,3,93.19,279.57,40,vegetarian,eggs,131,0
U0114,P0021,2025-07-04,2,45.75,91.5,50,vegan,vegan,143,0
U0189,P0148,2025-06-11,1,41.38,41.38,20,vegan,vegan,58,1
U0127,P0095,2025-06-25,2,144.05,288.1,40,eggs,non-vegetarian,158,0
U0087,P0216,2025-06-29,1,286.32,286.32,20,vegan,vegan,49,0
U0000,P0297,2025-07-08,2,255.03,510.06,0,vegan,vegetarian,37,1
U0167,P0107,2025-06-19,1,311.49,311.49,30,vegetarian,vegetarian,62,1
U0044,P0106,2025-06-29,1,274.87,274.87,10,vegan,eggs,65,1
U0116,P0065,2025-07-07,1,164.3,164.3,30,non-vegetarian,non-vegetarian,113,1
U0147,P0139,2025-07-08,3,185.34,556.02,50,eggs,eggs,47,1
U0125,P0289,2025-07-04,1,187.64,187.64,40,vegan,vegetarian,142,1
U0158,P0057,2025-07-03,1,101.59,101.59,40,vegan,vegetarian,135,1
U0145,P0178,2025-06-11,3,380.24,1140.72,20,vegan,eggs,172,1
U0015,P0179,2025-06-23,3,194.24,582.72,50,vegan,eggs,27,1
U0080,P0243,2025-06-12,1,366.62,366.62,10,vegetarian,eggs,110,0
U0015,P0234,2025-06-30,1,131.42,131.42,30,vegetarian,eggs,7,1
U0173,P0042,2025-06-15,3,270.98,812.94,40,eggs,eggs,153,0
U0122,P0233,2025-06-11,3,56.13,168.39,40,vegan,eggs,89,1
U0108,P0145,2025-06-22,1,166.03,166.03,30,vegan,non-vegetarian,62,0
U0042,P0148,2025-06-29,3,41.38,124.14,20,vegan,vegetarian,40,1
U0060,P0015,2025-07-01,2,71.08,142.16,50,eggs,eggs,72,0
U0178,P0152,2025-07-07,2,309.86,619.72,20,eggs,non-vegetarian,96,1
U0153,P0077,2025-06-21,1,291.82,291.82,40,vegetarian,vegetarian,10,1
U0085,P0156,2025-06-26,1,147.63,147.63,50,vegetarian,non-vegetarian,97,0
U0143,P0163,2025-06-24,3,485.8,1457.4,0,eggs,eggs,70,1
U0062,P0271,2025-07-08,3,360.39,1081.17,0,vegan,vegan,50,1
U0076,P0064,2025-06-16,3,232.7,698.1,40,eggs,non-vegetarian,67,0
U0085,P0280,2025-07-01,2,268.39,536.78,30,eggs,non-vegetarian,80,0
U0028,P0142,2025-06-13,3,295.62,886.86,30,vegan,non-vegetarian,167,0
U0051,P0109,2025-06-21,1,470.12,470.12,0,vegan,eggs,64,1
U0180,P0084,2025-06-15,1,337.3,337.3,20,vegetarian,vegetarian,106,0
U0185,P0242,2025-06-25,2,103.35,206.7,40,eggs,eggs,71,1
U0171,P0194,2025-06-30,3,344.76,1034.28,20,vegan,vegetarian,0,1
U0040,P0056,2025-06-15,3,105.37,316.11,50,vegetarian,vegetarian,72,1
U0154,P0177,2025-06-20,2,285.45,570.9,30,vegan,vegan,109,1
U0122,P0235,2025-06-12,1,361.8,361.8,10,vegan,eggs,25,0
U0129,P0209,2025-06-11,1,308.34,308.34,20,vegetarian,eggs,86,0
U0003,P0201,2025-06-20,3,214.95,644.85,30,vegetarian,vegetarian,110,0
U0153,P0274,2025-07-09,1,200.23,200.23,30,vegan,vegetarian,137,1
U0064,P0222,2025-06-19,1,54.05,54.05,50,vegan,eggs,100,1
U0046,P0140,2025-06-17,3,454.95,1364.85,0,vegetarian,eggs,148,1
U0120,P0197,2025-07-06,1,54.12,54.12,50,eggs,eggs,101,0
U0075,P0056,2025-07-06,1,105.37,105.37,50,vegetarian,eggs,51,0
U0005,P0101,2025-06-15,3,139.15,417.45,0,vegetarian,vegetarian,99,1
U0096,P0050,2025-06-13,3,304.67,914.01,30,vegetarian,eggs,68,1
U0055,P0221,2025-07-03,3,289.54,868.62,20,vegan,eggs,117,1
U0192,P0276,2025-06-25,2,245.88,491.76,50,vegetarian,vegetarian,135,0
U0158,P0028,2025-07-05,3,396.61,1189.83,20,vegan,vegetarian,103,1
U0025,P0225,2025-07-01,1,323.38,323.38,20,vegetarian,vegetarian,76,1
U0097,P0136,2025-06-22,1,107.12,107.12,50,vegetarian,vegetarian,143,1
U0028,P0028,2025-07-07,3,396.61,1189.83,20,vegan,non-vegetarian,101,0
U0108,P0183,2025-07-03,2,181.98,363.96,50,eggs,non-vegetarian,122,1
U0020,P0169,2025-06-18,2,226.77,453.54,50,eggs,non-vegetarian,11,1
U0024,P0021,2025-07-09,1,45.75,45.75,50,vegan,non-vegetarian,138,1
U0178,P0067,2025-06-17,3,306.36,919.08,10,non-vegetarian,non-vegetarian,159,1
U0006,P0159,2025-06-25,1,194.24,194.24,0,non-vegetarian,non-vegetarian,60,1
U0122,P0124,2025-06-23,2,167.18,334.36,40,vegetarian,eggs,139,1
U0006,P0195,2025-06-23,1,399.63,399.63,10,eggs,non-vegetarian,110,0
U0000,P0013,2025-06-11,2,421.96,843.92,10,vegan,vegetarian,89,0
U0050,P0092,2025-07-08,3,93.19,279.57,40,vegetarian,eggs,107,0
U0177,P0021,2025-07-10,3,45.75,137.25,50,vegan,vegetarian,137,0
U0059,P0120,2025-06-12,1,237.63,237.63,0,vegetarian,vegetarian,76,0
U0042,P0182,2025-06-24,3,232.69,698.07,50,vegan,vegetarian,0,1
U0149,P0116,2025-07-04,1,180.91,180.91,0,vegetarian,non-vegetarian,60,1
U0084,P0246,2025-07-01,1,90.95,90.95,20,vegetarian,vegetarian,108,0
U0088,P0018,2025-07-05,3,376.82,1130.46,0,vegetarian,vegetarian,110,1
U0061,P0019,2025-06-27,2,296.89,593.78,10,vegetarian,eggs,112,0
U0180,P0156,2025-07-01,3,147.63,442.89,50,vegetarian,vegetarian,92,1
U0145,P0024,2025-06-23,1,193.8,193.8,40,eggs,eggs,136,1
U0013,P0201,2025-06-17,2,214.95,429.9,30,vegetarian,non-vegetarian,113,1
U0168,P0059,2025-06-25,1,179.92,179.92,10,vegetarian,vegetarian,0,1
U0085,P0058,2025-06-29,1,186.88,186.88,50,eggs,non-vegetarian,179,1
U0145,P0019,2025-06-12,1,296.89,296.89,10,vegetarian,eggs,127,1
U0060,P0283,2025-06-14,3,225.81,677.43,30,eggs,eggs,79,0
U0016,P0255,2025-07-08,3,85.94,257.82,10,vegan,vegan,52,1
U0153,P0140,2025-06-14,3,454.95,1364.85,0,vegetarian,vegetarian,151,1
U0089,P0296,2025-06-23,2,195.12,390.24,30,vegetarian,vegetarian,141,0
U0024,P0154,2025-06-20,1,270.07,270.07,0,vegetarian,non-vegetarian,116,0
U0177,P0235,2025-06-24,3,361.8,1085.4,10,vegan,vegetarian,13,0
U0085,P0033,2025-06-25,3,376.78,1130.34,10,vegan,non-vegetarian,94,0
U0071,P0017,2025-06-18,3,323.23,969.69,10,vegetarian,vegetarian,162,0
U0039,P0274,2025-06-20,1,200.23,200.23,30,vegan,vegan,156,1
U0194,P0043,2025-06-14,3,89.38,268.14,50,vegetarian,vegetarian,58,0
U0123,P0281,2025-06-11,3,355.56,1066.68,0,eggs,non-vegetarian,105,1
U0047,P0097,2025-07-02,2,89.04,178.08,10,vegetarian,vegetarian,35,1
U0022,P0034,2025-07-02,2,225.91,451.82,10,vegan,vegan,47,1
U0154,P0273,2025-07-02,3,102.22,306.66,50,vegan,vegan,76,1
U0108,P0216,2025-07-03,1,286.32,286.32,20,vegan,non-vegetarian,45,1
U0119,P0048,2025-06-20,3,178.57,535.71,10,vegan,vegan,152,1
U0068,P0187,2025-07-05,2,249.33,498.66,30,vegan,eggs,112,1
U0115,P0025,2025-06-28,2,131.87,263.74,0,eggs,eggs,36,1
U0146,P0189,2025-06-23,2,61.79,123.58,0,vegan,vegan,136,1
U0129,P0039,2025-06-20,2,206.96,413.92,20,vegetarian,eggs,64,1
U0141,P0160,2025-06-12,3,109.16,327.48,50,vegan,vegan,54,1
U0080,P0136,2025-06-23,2,107.12,214.24,50,vegetarian,eggs,142,1
U0180,P0140,2025-07-07,2,454.95,909.9,0,vegetarian,vegetarian,128,1
U0045,P0195,2025-06-24,1,399.63,399.63,10,eggs,eggs,109,0
U0192,P0043,2025-06-21,1,89.38,89.38,50,vegetarian,vegetarian,51,1
U0118,P0103,2025-06-22,2,72.97,145.94,0,vegan,vegan,65,1
U0090,P0018,2025-06-20,1,376.82,376.82,0,vegetarian,vegetarian,125,1
U0181,P0018,2025-07-02,3,376.82,1130.46,0,vegetarian,vegetarian,113,1
U0028,P0109,2025-06-24,3,470.12,1410.36,0,vegan,non-vegetarian,61,1
U0015,P0160,2025-06-17,3,109.16,327.48,50,vegan,eggs,49,1
U0199,P0101,2025-06-29,2,139.15,278.3,0,vegetarian,vegetarian,85,1
U0156,P0298,2025-06-15,2,171.96,343.92,0,vegetarian,eggs,11,1
U0051,P0079,2025-06-20,1,102.7,102.7,0,vegetarian,eggs,89,0
U0071,P0270,2025-06-15,2,371.05,742.1,20,vegetarian,vegetarian,119,0
U0173,P0083,2025-07-08,3,39.12,117.36,50,vegetarian,eggs,96,1
U0169,P0203,2025-06-17,3,150.19,450.57,50,vegan,vegetarian,83,0
U0000,P0056,2025-06-28,2,105.37,210.74,50,vegetarian,vegetarian,59,1
U0080,P0286,2025-06-28,2,240.2,480.4,10,vegetarian,eggs,31,1
U0031,P0163,2025-06-21,1,485.8,485.8,0,eggs,non-vegetarian,73,1
U0046,P0190,2025-06-16,3,92.17,276.51,50,vegetarian,eggs,45,1
U0163,P0090,2025-07-10,2,108.59,217.18,50,vegan,non-vegetarian,119,1
U0080,P0208,2025-06-21,1,316.12,316.12,0,vegan,eggs,133,0
U0185,P0141,2025-07-04,1,190.75,190.75,50,vegetarian,eggs,109,1
U0102,P0271,2025-06-16,1,360.39,360.39,0,vegan,vegetarian,72,1
U0177,P0201,2025-06-17,3,214.95,644.85,30,vegetarian,vegetarian,113,1
U0123,P0087,2025-06-26,1,150.54,150.54,0,vegetarian,non-vegetarian,106,1
U0070,P0004,2025-06-25,3,37.5,112.5,40,vegetarian,vegetarian,44,1
U0031,P0224,2025-06-20,1,295.18,295.18,30,vegan,non-vegetarian,53,1
U0089,P0148,2025-07-04,1,41.38,41.38,20,vegan,vegetarian,35,1
U0121,P0227,2025-06-25,2,90.64,181.28,50,vegan,non-vegetarian,123,1
U0094,P0255,2025-06-21,2,85.94,171.88,10,vegan,vegan,69,1
U0159,P0150,2025-07-10,2,224.65,449.3,30,eggs,eggs,91,1
U0166,P0266,2025-06-13,2,243.38,486.76,40,vegan,eggs,127,0
U0128,P0179,2025-06-18,2,194.24,388.48,50,vegan,eggs,32,1
U0197,P0073,2025-07-09,1,132.93,132.93,40,non-vegetarian,non-vegetarian,32,1
U0047,P0141,2025-06-17,1,190.75,190.75,50,vegetarian,vegetarian,126,1
U0050,P0150,2025-06-26,1,224.65,224.65,30,eggs,eggs,105,1
U0043,P0145,2025-06-15,1,166.03,166.03,30,vegan,vegan,69,0
U0021,P0147,2025-07-01,1,356.3,356.3,20,vegetarian,eggs,57,1
U0061,P0268,2025-06-12,1,40.3,40.3,20,eggs,eggs,192,0
U0019,P0224,2025-06-26,2,295.18,590.36,30,vegan,vegan,47,1
U0108,P0151,2025-07-09,2,256.8,513.6,10,vegan,non-vegetarian,69,1
U0045,P0141,2025-06-30,3,190.75,572.25,50,vegetarian,eggs,113,1
U0074,P0112,2025-07-04,3,118.62,355.86,10,vegan,vegan,97,1
U0084,P0179,2025-06-15,1,194.24,194.24,50,vegan,vegetarian,35,1
U0113,P0247,2025-07-06,3,106.06,318.18,10,vegan,vegan,92,1
U0038,P0180,2025-07-10,1,499.49,499.49,0,vegetarian,non-vegetarian,132,0
U0139,P0076,2025-07-03,3,348.74,1046.22,0,vegetarian,eggs,119,0
U0120,P0265,2025-06-17,1,418.03,418.03,0,vegetarian,eggs,92,0
U0056,P0154,2025-06-24,2,270.07,540.14,0,vegetarian,non-vegetarian,112,1
U0024,P0296,2025-06-18,1,195.12,195.12,30,vegetarian,non-vegetarian,146,0
U0075,P0296,2025-07-07,1,195.12,195.12,30,vegetarian,eggs,127,1
U0029,P0087,2025-06-19,3,150.54,451.62,0,vegetarian,non-vegetarian,113,1
U0121,P0202,2025-06-15,2,52.67,105.34,30,vegetarian,non-vegetarian,110,0
U0068,P0036,2025-06-14,1,154.71,154.71,10,vegetarian,eggs,104,0
U0093,P0202,2025-06-19,1,52.67,52.67,30,vegetarian,eggs,106,1
U0071,P0212,2025-06-12,1,299.95,299.95,20,vegan,vegetarian,176,1
U0147,P0088,2025-06-27,1,199.71,199.71,30,vegetarian,eggs,71,0
U0021,P0018,2025-06-21,2,376.82,753.64,0,vegetarian,eggs,124,1
U0039,P0020,2025-06-12,1,345.41,345.41,20,vegan,vegan,50,0
U0137,P0257,2025-07-06,3,357.51,1072.53,0,vegan,vegan,60,1
U0004,P0263,2025-07-07,1,149.44,149.44,10,non-vegetarian,non-vegetarian,78,1
U0145,P0047,2025-06-16,3,105.0,315.0,40,vegetarian,eggs,119,1
U0115,P0126,2025-06-26,3,384.16,1152.48,20,eggs,eggs,17,1
U0193,P0034,2025-07-09,3,225.91,677.73,10,vegan,eggs,40,1
U0037,P0194,2025-07-04,1,344.76,344.76,20,vegan,vegetarian,0,1
U0071,P0209,2025-07-04,3,308.34,925.02,20,vegetarian,vegetarian,63,1
U0129,P0087,2025-07-10,2,150.54,301.08,0,vegetarian,eggs,92,1
U0087,P0108,2025-06-13,2,170.42,340.84,20,vegan,vegan,134,0
U0018,P0173,2025-06-22,2,71.15,142.3,40,vegan,vegan,85,1
U0192,P0191,2025-06-21,3,309.09,927.27,20,vegetarian,vegetarian,145,1
U0116,P0021,2025-07-08,2,45.75,91.5,50,vegan,non-vegetarian,139,1
U0010,P0296,2025-07-01,3,195.12,585.36,30,vegetarian,vegetarian,133,1
U0065,P0218,2025-06-23,1,313.77,313.77,30,vegan,vegan,50,0
U0116,P0046,2025-06-28,2,192.46,384.92,10,vegetarian,non-vegetarian,106,1
U0188,P0033,2025-06-11,2,376.78,753.56,10,vegan,non-vegetarian,108,0
U0089,P0201,2025-06-29,2,214.95,429.9,30,vegetarian,vegetarian,101,1
U0137,P0257,2025-06-22,1,357.51,357.51,0,vegan,vegan,74,0
U0061,P0258,2025-06-24,1,133.89,133.89,10,eggs,eggs,108,1
U0053,P0088,2025-07-10,3,199.71,599.13,30,vegetarian,eggs,58,0
U0153,P0235,2025-07-03,1,361.8,361.8,10,vegan,vegetarian,4,1
U0060,P0003,2025-06-18,1,151.31,151.31,20,eggs,eggs,66,0
U0186,P0107,2025-07-06,3,311.49,934.47,30,vegetarian,eggs,45,1
U0092,P0219,2025-07-08,1,257.14,257.14,0,eggs,eggs,27,1
U0186,P0170,2025-07-05,1,112.97,112.97,20,vegan,eggs,116,1
U0085,P0131,2025-07-10,1,51.39,51.39,30,non-vegetarian,non-vegetarian,144,1
U0072,P0264,2025-06-22,2,78.67,157.34,40,non-vegetarian,non-vegetarian,9,1
U0069,P0249,2025-07-02,2,258.33,516.66,30,vegan,vegan,94,1
U0030,P0072,2025-06-13,1,204.07,204.07,50,vegan,eggs,163,1
U0118,P0240,2025-06-14,1,52.41,52.41,40,vegan,vegan,73,1
U0057,P0038,2025-07-06,1,149.77,149.77,30,non-vegetarian,non-vegetarian,42,0
U0096,P0182,2025-06-28,1,232.69,232.69,50,vegan,eggs,0,1
U0029,P0190,2025-07-08,3,92.17,276.51,50,vegetarian,non-vegetarian,23,1
U0074,P0269,2025-07-02,2,493.58,987.16,0,vegan,vegan,149,1
U0166,P0028,2025-06-14,1,396.61,396.61,20,vegan,eggs,124,1
U0179,P0110,2025-06-20,1,143.0,143.0,50,vegan,eggs,104,1
U0018,P0106,2025-07-10,1,274.87,274.87,10,vegan,vegan,54,0
U0116,P0159,2025-06-19,3,194.24,582.72,0,non-vegetarian,non-vegetarian,66,1
U0021,P0173,2025-06-30,3,71.15,213.45,40,vegan,eggs,77,0
U0159,P0197,2025-07-06,2,54.12,108.24,50,eggs,eggs,101,1
U0060,P0241,2025-06-17,3,360.88,1082.64,10,eggs,eggs,39,1
U0044,P0017,2025-06-21,2,323.23,646.46,10,vegetarian,eggs,159,1
U0185,P0015,2025-06-30,3,71.08,213.24,50,eggs,eggs,73,0
U0112,P0189,2025-06-21,1,61.79,61.79,0,vegan,eggs,138,0
U0138,P0279,2025-06-28,3,62.21,186.63,50,vegan,vegan,153,1
U0114,P0179,2025-07-04,2,194.24,388.48,50,vegan,vegan,16,1
U0110,P0084,2025-06-15,1,337.3,337.3,20,vegetarian,vegetarian,106,1
U0021,P0048,2025-06-25,1,178.57,178.57,10,vegan,eggs,147,1
U0058,P0214,2025-06-26,3,68.68,206.04,0,vegan,vegan,79,0
U0097,P0101,2025-06-15,1,139.15,139.15,0,vegetarian,vegetarian,99,0
U0072,P0026,2025-06-22,2,309.2,618.4,30,eggs,non-vegetarian,98,1
U0045,P0281,2025-06-11,1,355.56,355.56,0,eggs,eggs,105,1
U0062,P0103,2025-06-19,2,72.97,145.94,0,vegan,vegan,68,1
U0054,P0173,2025-07-06,3,71.15,213.45,40,vegan,vegetarian,71,1
U0151,P0127,2025-06-16,3,263.45,790.35,30,vegan,vegan,153,0
U0075,P0119,2025-07-01,1,264.68,264.68,40,eggs,eggs,143,0
U0175,P0178,2025-07-02,2,380.24,760.48,20,vegan,non-vegetarian,151,1
U0124,P0257,2025-06-12,2,357.51,715.02,0,vegan,vegan,84,1
U0101,P0201,2025-07-03,2,214.95,429.9,30,vegetarian,eggs,97,1
U0175,P0169,2025-06-27,3,226.77,680.31,50,eggs,non-vegetarian,2,1
U0128,P0205,2025-06-14,1,304.32,304.32,30,vegan,eggs,165,1
U0175,P0248,2025-06-29,3,113.37,340.11,50,vegetarian,non-vegetarian,70,1
U0004,P0098,2025-06-14,3,70.23,210.69,10,non-vegetarian,non-vegetarian,61,1
U0186,P0022,2025-07-05,2,300.06,600.12,30,vegetarian,eggs,127,1
U0129,P0237,2025-07-05,3,34.35,103.05,50,vegetarian,eggs,33,0
U0115,P0057,2025-06-24,1,101.59,101.59,40,vegan,eggs,144,1
U0025,P0204,2025-07-06,1,225.72,225.72,50,vegetarian,vegetarian,50,1
U0036,P0299,2025-06-25,1,41.4,41.4,50,eggs,eggs,184,1
U0095,P0194,2025-06-23,2,344.76,689.52,20,vegan,vegetarian,0,1
U0021,P0097,2025-06-12,2,89.04,178.08,10,vegetarian,eggs,55,1
U0004,P0226,2025-06-19,3,265.83,797.49,40,eggs,non-vegetarian,106,0
U0180,P0138,2025-06-12,1,242.35,242.35,20,vegetarian,vegetarian,102,0
U0147,P0188,2025-07-10,2,181.18,362.36,50,vegetarian,eggs,163,1
U0194,P0081,2025-06-16,2,188.0,376.0,10,vegan,vegetarian,66,1
U0031,P0109,2025-06-29,2,470.12,940.24,0,vegan,non-vegetarian,56,1
U0086,P0251,2025-06-21,1,218.58,218.58,30,vegetarian,eggs,154,0
U0047,P0246,2025-07-06,3,90.95,272.85,20,vegetarian,vegetarian,103,1
U0042,P0173,2025-06-11,2,71.15,142.3,40,vegan,vegetarian,96,0
U0010,P0292,2025-06-26,3,26.76,80.28,50,vegetarian,vegetarian,28,1
U0080,P0199,2025-06-28,2,194.33,388.66,40,vegetarian,eggs,53,1
U0028,P0232,2025-06-11,1,222.69,222.69,40,non-vegetarian,non-vegetarian,138,1
U0115,P0249,2025-07-09,1,258.33,258.33,30,vegan,eggs,87,1
U0053,P0058,2025-06-13,2,186.88,373.76,50,eggs,eggs,195,1
U0166,P0018,2025-07-01,1,376.82,376.82,0,vegetarian,eggs,114,1
U0070,P0074,2025-06-20,1,288.59,288.59,40,vegan,vegetarian,29,1
U0149,P0134,2025-06-20,2,362.2,724.4,10,non-vegetarian,non-vegetarian,75,1
U0189,P0214,2025-06-18,1,68.68,68.68,0,vegan,vegan,87,1
U0138,P0052,2025-06-13,3,179.98,539.94,30,vegan,vegan,165,1
U0070,P0289,2025-06-29,1,187.64,187.64,40,vegan,vegetarian,147,1
U0053,P0027,2025-06-25,2,88.85,177.7,30,eggs,eggs,134,0
U0096,P0071,2025-06-13,1,205.89,205.89,40,eggs,eggs,28,0
U0076,P0178,2025-06-21,2,380.24,760.48,20,vegan,non-vegetarian,162,1
U0089,P0140,2025-06-30,3,454.95,1364.85,0,vegetarian,vegetarian,135,0
U0116,P0273,2025-06-12,3,102.22,306.66,50,vegan,non-vegetarian,96,1
U0197,P0024,2025-06-16,3,193.8,581.4,40,eggs,non-vegetarian,143,1
U0070,P0081,2025-07-05,3,188.0,564.0,10,vegan,vegetarian,47,1
U0185,P0015,2025-06-24,1,71.08,71.08,50,eggs,eggs,79,0
U0041,P0257,2025-06-26,3,357.51,1072.53,0,vegan,eggs,70,0
U0006,P0189,2025-07-02,2,61.79,123.58,0,vegan,non-vegetarian,127,1
U0006,P0191,2025-06-17,2,309.09,618.18,20,vegetarian,non-vegetarian,149,1
U0179,P0185,2025-06-17,1,257.17,257.17,20,vegetarian,eggs,119,0
U0116,P0089,2025-06-20,3,154.8,464.4,0,eggs,non-vegetarian,19,0
U0089,P0068,2025-06-15,3,245.29,735.87,30,vegetarian,vegetarian,99,0
U0188,P0127,2025-06-22,3,263.45,790.35,30,vegan,non-vegetarian,147,0
U0006,P0014,2025-07-02,3,335.38,1006.14,20,non-vegetarian,non-vegetarian,120,1
U0096,P0142,2025-07-08,2,295.62,591.24,30,vegan,eggs,142,1
U0132,P0124,2025-06-27,2,167.18,334.36,40,vegetarian,non-vegetarian,135,1
U0061,P0011,2025-06-29,3,240.64,721.92,40,eggs,eggs,121,0
U0064,P0142,2025-06-18,2,295.62,591.24,30,vegan,eggs,162,1
U0159,P0240,2025-06-16,3,52.41,157.23,40,vegan,eggs,71,1
U0030,P0137,2025-06-12,2,245.59,491.18,40,eggs,eggs,176,1
U0135,P0227,2025-06-23,2,90.64,181.28,50,vegan,eggs,125,1
