product_id,name,category,brand,diet_type,allergens,shelf_life_days,packaging_date,expiry_date,weight_grams,price_mrp,current_discount_percent,store_location_lat,store_location_lon
P0014,Memory Beverages,Beverages,Bell-Mendoza,non-vegetarian,['nuts'],132,2025-06-20,2025-10-30,750,419.22,20,78.4766735,-55.854849
P0015,Difficult Spreads,Spreads,Lambert-Snyder,eggs,['soy'],113,2025-05-21,2025-09-11,750,142.17,50,51.875313,-85.155215
P0016,Seek Dairy,Dairy,Li and Sons,eggs,"['gluten', 'nuts']",79,2025-05-25,2025-08-12,1000,423.89,40,65.8433375,-156.688676
P0017,Prevent Beverages,Beverages,"Jones, Meyer and Lee",vegetarian,['nuts'],179,2025-06-01,2025-11-27,250,359.14,10,-50.8003135,-56.616238
P0018,Exactly Meat,Meat,Byrd-Cole,vegetarian,"['gluten', 'eggs']",141,2025-06-04,2025-10-23,750,376.82,0,-6.6846355,135.155758
P0019,Yourself Meat,Meat,"Gibbs, Clark and Mendoza",vegetarian,['eggs'],156,2025-05-14,2025-10-17,750,329.88,10,48.057566,87.496756
P0020,Far Biscuits,Biscuits,Parrish-White,vegan,[],56,2025-06-06,2025-08-01,750,431.76,20,-64.1523385,-0.808527
P0021,Rest Sauces,Sauces,Romero PLC,vegan,['soy'],144,2025-07-03,2025-11-24,1000,91.5,50,37.8676005,-57.685839
P0022,Social Spreads,Spreads,Cooper-Miller,vegetarian,"['gluten', 'nuts']",147,2025-06-15,2025-11-09,1000,428.66,30,-76.854508,-82.842303
P0023,Agreement Cheese,Cheese,"Walters, Sullivan and Mays",non-vegetarian,"['nuts', 'dairy']",147,2025-05-19,2025-10-13,750,376.37,10,-40.323254,23.030598
P0024,Table Dairy,Dairy,Nguyen Group,eggs,[],170,2025-05-20,2025-11-06,1000,323.0,40,75.1352395,-179.457238
P0025,Leader Cheese,Cheese,Wood Inc,eggs,[],56,2025-06-08,2025-08-03,250,131.87,0,0.6262425,154.634716
P0026,Environment Sauces,Sauces,Hernandez Group,eggs,['gluten'],118,2025-06-02,2025-09-28,1000,441.71,30,-15.417761,-111.956189
P0027,Sense Sauces,Sauces,Smith-Cline,eggs,[],157,2025-06-02,2025-11-06,250,126.93,30,-33.7079285,24.121854
P0028,Fear Cheese,Cheese,"Parker, Hartman and Johnson",vegan,[],133,2025-06-05,2025-10-16,250,495.76,20,45.059735,-51.872003
P0029,Something Sauces,Sauces,"Williams, Peterson and Neal",eggs,[],50,2025-06-11,2025-07-31,1000,350.12,30,13.0340005,109.795456
P0030,Close Spreads,Spreads,"Rollins, Wright and Briggs",non-vegetarian,[],59,2025-05-19,2025-07-17,250,58.07,10,7.4879595,61.835137
P0031,Practice Dairy,Dairy,"Smith, Ramsey and Gordon",non-vegetarian,['dairy'],174,2025-05-23,2025-11-13,1000,322.9,0,52.4740825,-145.860422
P0032,Imagine Dairy,Dairy,Rodriguez PLC,eggs,"['nuts', 'soy']",170,2025-05-16,2025-11-02,1000,122.53,10,13.4225985,147.003845
P0033,Happy Meat,Meat,Ortiz LLC,vegan,"['eggs', 'gluten']",126,2025-05-24,2025-09-27,750,418.65,10,-34.5565065,153.800941
P0034,Food Sauces,Sauces,Anthony PLC,vegan,['soy'],74,2025-06-05,2025-08-18,750,251.01,10,-51.067839,-100.256127
P0035,Everything Cheese,Cheese,"Hill, Franco and Campos",vegetarian,[],103,2025-06-24,2025-10-05,500,221.38,30,-11.7656005,127.468614
P0036,Miss Biscuits,Biscuits,Torres Group,vegetarian,['soy'],103,2025-06-15,2025-09-26,750,171.9,10,22.550846,106.679608
P0037,Edge Dairy,Dairy,Johnson-Elliott,non-vegetarian,['dairy'],31,2025-06-01,2025-07-02,1000,255.87,40,65.4175245,85.246495
P0038,Later Snacks,Snacks,Stout LLC,non-vegetarian,[],76,2025-06-02,2025-08-17,250,213.96,30,-5.5758245,68.069240
P0039,Human Sauces,Sauces,"Aguilar, Brown and Jackson",vegetarian,[],77,2025-06-07,2025-08-23,500,258.7,20,-79.7854975,-9.083390
P0040,Part Cheese,Cheese,Williams-Mann,non-vegetarian,['gluten'],87,2025-06-26,2025-09-21,250,422.8,30,20.4956665,-165.444394
P0041,School Dairy,Dairy,Morales Group,non-vegetarian,[],37,2025-06-07,2025-07-14,750,77.49,30,1.836876,68.255520
P0042,Industry Snacks,Snacks,Clark-Ruiz,eggs,[],166,2025-06-02,2025-11-15,250,451.63,40,-44.619245,144.528965
P0043,Difficult Dairy,Dairy,"Moore, Cooper and Hernandez",vegetarian,['dairy'],62,2025-06-10,2025-08-11,250,178.75,50,-35.446647,-86.303670
P0044,Various Snacks,Snacks,"Stevens, Jennings and Matthews",non-vegetarian,[],111,2025-05-15,2025-09-03,750,311.53,10,27.5514835,21.242873
P0045,Fire Snacks,Snacks,Erickson-Landry,vegetarian,"['gluten', 'eggs']",86,2025-06-25,2025-09-19,1000,185.42,20,-35.029107,31.474040
P0046,Goal Spreads,Spreads,"Mitchell, Mathews and Smith",vegetarian,"['dairy', 'eggs']",114,2025-06-20,2025-10-12,750,213.84,10,79.6714985,-173.280205
P0047,Area Spreads,Spreads,Levine-Shaw,vegetarian,['gluten'],141,2025-05-25,2025-10-13,750,175.0,40,14.154461,175.863225
P0048,Together Cheese,Cheese,Hubbard-Clark,vegan,"['gluten', 'soy']",145,2025-06-27,2025-11-19,1000,198.41,10,3.9351705,-24.433623
P0049,Need Dairy,Dairy,Wagner-Shaw,vegetarian,"['soy', 'eggs']",96,2025-06-30,2025-10-04,250,381.59,20,60.475718,127.750554
P0050,Pay Cheese,Cheese,Davis-Delgado,vegetarian,"['dairy', 'soy']",50,2025-07-01,2025-08-20,1000,435.24,30,50.9557255,138.212728
P0051,Sport Dairy,Dairy,Chapman Group,vegetarian,"['soy', 'eggs']",159,2025-05-17,2025-10-23,500,349.44,10,-22.649671,145.118147
P0052,Interest Dairy,Dairy,"Castillo, Hammond and Jones",vegan,[],165,2025-06-13,2025-11-25,250,257.11,30,-4.2304735,-159.726556
P0053,Choose Spreads,Spreads,Shields LLC,vegetarian,"['soy', 'gluten']",127,2025-07-04,2025-11-08,250,379.49,30,-78.554664,-81.216055
P0054,Consumer Biscuits,Biscuits,"Rodriguez, Jones and Roberts",eggs,"['eggs', 'gluten']",39,2025-05-15,2025-06-23,250,172.37,10,-65.8450695,-89.898427
P0055,Foreign Cheese,Cheese,Villarreal and Sons,eggs,[],30,2025-05-31,2025-06-30,750,448.58,10,-58.510365,-125.161858
P0056,Him Snacks,Snacks,"Walker, Jones and Davis",vegetarian,['nuts'],88,2025-05-30,2025-08-26,750,210.74,50,63.153122,71.894462
P0057,Red Biscuits,Biscuits,Joyce-Miller,vegan,"['nuts', 'eggs']",175,2025-05-24,2025-11-15,250,169.31,40,74.217354,102.908238
P0058,Become Snacks,Snacks,Johnson-Fuentes,eggs,"['gluten', 'soy']",176,2025-07-02,2025-12-25,750,373.76,50,-74.260212,150.180279
P0059,Treatment Meat,Meat,Jackson-Jones,vegetarian,[],33,2025-05-16,2025-06-18,500,199.91,10,33.845750,-106.783432
P0060,Middle Beverages,Beverages,Holmes Ltd,non-vegetarian,[],104,2025-05-21,2025-09-02,1000,364.49,30,14.3280705,81.452868
P0061,Cover Cheese,Cheese,Smith-Mendoza,vegetarian,"['soy', 'gluten']",109,2025-07-01,2025-10-18,750,138.69,0,45.892139,39.323962
P0062,Trial Spreads,Spreads,Smith PLC,non-vegetarian,['nuts'],120,2025-06-06,2025-10-04,1000,447.51,40,82.914526,77.170769
P0063,Animal Spreads,Spreads,"Floyd, Brooks and Haynes",vegan,['gluten'],32,2025-07-05,2025-08-06,500,286.95,50,39.5376515,143.731929
P0064,Discover Spreads,Spreads,Ortiz Ltd,eggs,"['gluten', 'eggs']",49,2025-07-04,2025-08-22,250,387.84,40,48.715233,-22.943199
P0065,Start Biscuits,Biscuits,Harris Inc,non-vegetarian,['gluten'],126,2025-06-24,2025-10-28,250,234.71,30,-24.860284,-37.665249
P0066,Role Snacks,Snacks,Curry-Hunt,eggs,[],95,2025-06-04,2025-09-07,750,469.15,30,-57.353217,122.724358
P0067,Can Dairy,Dairy,Barrett Inc,non-vegetarian,['gluten'],165,2025-06-11,2025-11-23,1000,340.4,10,9.9055475,0.185838
P0068,Beautiful Meat,Meat,Pace-Johnston,vegetarian,['eggs'],83,2025-07-01,2025-09-22,750,350.41,30,-69.615011,18.639162
P0069,Heart Biscuits,Biscuits,Jackson-Ross,non-vegetarian,['eggs'],164,2025-06-14,2025-11-25,250,167.41,20,75.7523505,99.959630
P0070,About Dairy,Dairy,Ramirez Inc,non-vegetarian,"['soy', 'nuts']",62,2025-06-12,2025-08-13,750,87.21,10,47.9831485,-65.338550
P0071,One Meat,Meat,Morrison Group,eggs,"['gluten', 'eggs']",34,2025-06-07,2025-07-11,500,343.15,40,-38.1382545,75.449263
P0072,Air Snacks,Snacks,Hamilton Inc,vegan,"['gluten', 'eggs']",146,2025-06-30,2025-11-23,1000,408.15,50,-21.600269,-87.229605
P0073,Machine Snacks,Snacks,Boyer-Young,non-vegetarian,[],36,2025-07-05,2025-08-10,250,221.55,40,88.637692,-113.489496
P0074,Thought Cheese,Cheese,Livingston PLC,vegan,"['eggs', 'nuts']",64,2025-05-16,2025-07-19,500,480.98,40,63.122797,-153.625168
P0075,Skill Sauces,Sauces,"Ramirez, Phillips and Wood",non-vegetarian,['dairy'],87,2025-05-17,2025-08-12,500,68.69,20,46.416011,38.089824
P0076,Ago Dairy,Dairy,Carroll-Daniels,vegetarian,['eggs'],121,2025-07-01,2025-10-30,250,348.74,0,76.9852275,83.059428
P0077,Force Meat,Meat,Martinez Ltd,vegetarian,[],48,2025-05-14,2025-07-01,1000,486.37,40,11.2645345,-45.440173
P0078,Admit Beverages,Beverages,Jackson-Lee,non-vegetarian,"['nuts', 'dairy']",80,2025-06-25,2025-09-13,250,362.15,40,-29.6903445,101.642970
P0079,Economy Meat,Meat,Henry-Cline,vegetarian,[],98,2025-06-11,2025-09-17,250,102.7,0,-29.136798,-41.350031
P0080,Last Spreads,Spreads,Poole-Vasquez,eggs,"['dairy', 'gluten']",158,2025-06-18,2025-11-23,500,52.04,0,64.592338,-107.825040
P0081,Close Sauces,Sauces,Krueger LLC,vegan,"['dairy', 'eggs']",67,2025-06-15,2025-08-21,250,208.89,10,37.032700,-46.249729
P0082,Yard Biscuits,Biscuits,"Thompson, Shepherd and Phillips",vegetarian,"['dairy', 'eggs']",161,2025-05-14,2025-10-22,750,295.85,20,-83.088190,116.820119
P0083,Open Cheese,Cheese,Henry Ltd,vegetarian,[],123,2025-06-11,2025-10-12,750,78.23,50,-89.3670055,-5.222279
P0084,Seek Snacks,Snacks,Stein LLC,vegetarian,[],100,2025-06-21,2025-09-29,1000,421.63,20,-78.4576945,27.291249
P0085,Wall Snacks,Snacks,"Brown, Gonzalez and Dixon",non-vegetarian,['soy'],58,2025-06-19,2025-08-16,1000,279.17,30,-36.546418,25.231393
P0086,These Beverages,Beverages,Pearson-Williams,non-vegetarian,[],52,2025-06-07,2025-07-29,750,449.48,50,-62.573274,24.228092
P0087,Challenge Dairy,Dairy,House Group,vegetarian,"['soy', 'eggs']",111,2025-06-21,2025-10-10,1000,150.54,0,-48.686965,-130.816230
P0088,Agent Spreads,Spreads,Miller and Sons,vegetarian,['soy'],99,2025-05-30,2025-09-06,250,285.3,30,58.459481,151.009933
P0089,Main Snacks,Snacks,Sweeney-Hoover,eggs,"['gluten', 'soy']",45,2025-05-25,2025-07-09,750,154.8,0,-81.165960,-92.459564
P0090,I Beverages,Beverages,Munoz PLC,vegan,"['nuts', 'dairy']",143,2025-06-16,2025-11-06,750,217.18,50,49.0252625,159.098562
P0091,Like Biscuits,Biscuits,Price and Sons,vegetarian,['nuts'],177,2025-07-02,2025-12-26,250,373.71,10,-23.995347,-78.004714
P0092,Response Beverages,Beverages,King-Williams,vegetarian,['soy'],147,2025-05-29,2025-10-23,750,155.31,40,-39.966359,-49.511724
P0093,Cultural Meat,Meat,"Hutchinson, Aguirre and Evans",non-vegetarian,['eggs'],35,2025-06-13,2025-07-18,750,489.02,50,67.333147,139.026867
P0094,Know Beverages,Beverages,"Hurst, Phillips and Allen",non-vegetarian,[],85,2025-07-02,2025-09-25,750,458.23,20,-30.0822785,-176.370000
P0095,Friend Snacks,Snacks,Oliver-Potter,eggs,"['eggs', 'gluten']",179,2025-06-04,2025-11-30,750,240.08,40,-66.853281,19.142210
P0096,Test Spreads,Spreads,"Wagner, Armstrong and James",vegetarian,['nuts'],55,2025-06-28,2025-08-22,250,72.54,10,-82.6439555,-156.703693
P0097,We Snacks,Snacks,"Phillips, Anderson and Williams",vegetarian,"['dairy', 'gluten']",83,2025-05-15,2025-08-06,1000,98.93,10,74.913671,77.715388
P0098,Project Biscuits,Biscuits,Ross PLC,non-vegetarian,['soy'],63,2025-06-12,2025-08-14,1000,78.03,10,-73.898110,175.555532
P0099,Cover Spreads,Spreads,"Leblanc, Vega and Olsen",non-vegetarian,[],172,2025-05-22,2025-11-10,750,224.72,40,35.734244,-161.126796
P0100,Poor Meat,Meat,Obrien Ltd,eggs,[],158,2025-06-17,2025-11-22,500,272.25,20,38.146212,-169.705246
P0101,Find Snacks,Snacks,Hatfield Inc,vegetarian,['gluten'],91,2025-06-23,2025-09-22,1000,139.15,0,15.3040815,125.285681
P0102,Oil Biscuits,Biscuits,Goodman LLC,non-vegetarian,['eggs'],160,2025-06-11,2025-11-18,750,322.43,40,59.0400145,134.147153
P0103,Sense Beverages,Beverages,"Stanley, Serrano and Miller",vegan,[],97,2025-05-21,2025-08-26,1000,72.97,0,-89.3559115,-172.542003
P0104,Skin Cheese,Cheese,"Griffin, Hodges and Castillo",eggs,['nuts'],145,2025-06-01,2025-10-24,500,488.5,20,65.536679,-38.767868
P0105,Choose Sauces,Sauces,Lopez LLC,eggs,['nuts'],120,2025-06-20,2025-10-18,250,168.83,10,-47.8359275,103.973540
P0106,Message Snacks,Snacks,Cummings Ltd,vegan,['gluten'],110,2025-05-15,2025-09-02,250,305.41,10,76.173681,-119.186266
P0107,Moment Dairy,Dairy,Lynch and Sons,vegetarian,[],65,2025-06-16,2025-08-20,1000,444.98,30,20.9458455,-42.721818
P0108,Trouble Dairy,Dairy,Hughes and Sons,vegan,['nuts'],112,2025-07-05,2025-10-25,250,213.03,20,-48.442500,-57.808051
P0109,Skill Cheese,Cheese,Taylor and Sons,vegan,['eggs'],95,2025-05-21,2025-08-24,1000,470.12,0,-42.6429655,-177.455588
P0110,Eight Dairy,Dairy,Ward-Lewis,vegan,[],97,2025-06-27,2025-10-02,250,286.0,50,-26.883605,79.724735
P0111,Gun Meat,Meat,"Nguyen, Castaneda and Cooke",eggs,['soy'],178,2025-05-16,2025-11-10,500,450.91,10,74.5095335,128.707598
P0112,Turn Beverages,Beverages,"Davis, Jackson and Brown",vegan,['dairy'],98,2025-07-03,2025-10-09,250,131.8,10,-35.592889,76.076160
P0113,Situation Sauces,Sauces,Watson and Sons,vegetarian,"['dairy', 'nuts']",171,2025-06-04,2025-11-22,500,372.85,50,-7.9525365,69.696093
P0114,Become Snacks,Snacks,Campos PLC,non-vegetarian,[],149,2025-07-04,2025-11-30,250,196.54,10,-30.186992,132.638912
P0115,Buy Meat,Meat,"Villegas, Bell and Davis",non-vegetarian,[],151,2025-05-24,2025-10-22,750,248.9,10,-76.1435215,82.858458
P0116,Special Meat,Meat,Gibson-Brown,vegetarian,[],109,2025-05-16,2025-09-02,250,180.91,0,38.742991,165.056360
P0117,Once Meat,Meat,"Gallagher, Graham and Williams",non-vegetarian,[],145,2025-07-05,2025-11-27,750,256.55,20,6.959855,-97.821836
P0118,Enough Dairy,Dairy,Jenkins PLC,vegetarian,"['gluten', 'soy']",97,2025-05-17,2025-08-22,500,141.23,40,-60.7578895,94.555031
P0119,Player Sauces,Sauces,"Willis, Gomez and Perez",eggs,['eggs'],141,2025-07-03,2025-11-21,250,441.14,40,-36.467890,-2.638331
P0120,West Dairy,Dairy,"Williams, Edwards and Hall",vegetarian,"['dairy', 'nuts']",83,2025-06-05,2025-08-27,250,237.63,0,54.676724,-61.646191
P0121,Beyond Cheese,Cheese,"Green, Cameron and Warren",non-vegetarian,[],42,2025-05-31,2025-07-12,1000,447.69,0,-22.4247765,67.615094
P0122,Class Dairy,Dairy,"Dyer, Martin and Butler",vegetarian,['nuts'],123,2025-06-13,2025-10-14,1000,407.89,0,77.4011265,-21.495896
P0123,Pull Spreads,Spreads,"Robles, Wong and Marquez",eggs,['eggs'],80,2025-06-08,2025-08-27,500,256.65,40,-62.7031045,-48.047775
P0124,Whom Beverages,Beverages,"Steele, Nelson and Smith",vegetarian,[],156,2025-06-06,2025-11-09,1000,278.64,40,-29.1288555,-125.577804
P0125,Move Snacks,Snacks,Houston and Sons,non-vegetarian,[],140,2025-05-30,2025-10-17,750,282.28,50,79.0611235,-168.276283
P0126,Apply Cheese,Cheese,"Wells, Harris and Shaw",eggs,"['gluten', 'soy']",39,2025-06-04,2025-07-13,1000,480.2,20,-84.594309,-45.092854
P0127,College Snacks,Snacks,"Nunez, Sharp and Lee",vegan,"['gluten', 'eggs']",137,2025-07-02,2025-11-16,750,376.36,30,-76.2096415,-147.332560
P0128,Loss Snacks,Snacks,"Kelly, Benton and Hill",vegetarian,[],41,2025-05-12,2025-06-22,250,276.65,20,29.781906,158.022285
P0129,Population Beverages,Beverages,Hansen-Montes,eggs,['soy'],81,2025-05-30,2025-08-19,1000,365.14,20,0.2772845,-121.536862
P0130,Scene Biscuits,Biscuits,"Simpson, Crawford and Cameron",vegetarian,['eggs'],146,2025-06-25,2025-11-18,500,385.04,40,-51.7112635,97.689254
P0131,Skill Cheese,Cheese,Garcia Group,non-vegetarian,"['nuts', 'gluten']",174,2025-06-10,2025-12-01,250,73.41,30,-34.0316395,-157.199208
P0132,More Cheese,Cheese,Woodard-Barry,eggs,"['nuts', 'gluten']",103,2025-05-31,2025-09-11,750,173.09,30,-53.8923655,100.974926
P0133,Only Dairy,Dairy,Fields PLC,non-vegetarian,[],110,2025-05-31,2025-09-18,1000,168.25,30,61.440386,-158.894718
P0134,Consider Dairy,Dairy,"Garcia, Guerrero and Johnston",non-vegetarian,[],97,2025-05-29,2025-09-03,1000,402.44,10,-15.4154305,-81.130333
P0135,List Cheese,Cheese,Thomas-Campbell,vegetarian,['soy'],30,2025-05-16,2025-06-15,250,252.52,0,-12.4326805,109.247004
P0136,Education Cheese,Cheese,Gardner-Mcfarland,vegetarian,"['gluten', 'dairy']",174,2025-05-22,2025-11-12,750,214.24,50,28.9384025,-41.661176
P0137,Change Cheese,Cheese,Patton-Scott,eggs,"['gluten', 'eggs']",179,2025-06-09,2025-12-05,750,409.31,40,-73.658595,130.294916
P0138,Second Sauces,Sauces,"Hill, Diaz and Bell",vegetarian,[],85,2025-06-29,2025-09-22,1000,302.94,20,19.467214,-12.552372
P0139,Now Sauces,Sauces,Johnson PLC,eggs,[],84,2025-06-01,2025-08-24,750,370.69,50,-12.6776265,-57.552524
P0140,Hold Spreads,Spreads,Sims and Sons,vegetarian,"['dairy', 'soy']",151,2025-06-14,2025-11-12,250,454.95,0,58.075530,166.972445
P0141,Throw Biscuits,Biscuits,Stevens-Farrell,vegetarian,['soy'],149,2025-05-25,2025-10-21,250,381.49,50,62.537506,113.068775
P0142,Customer Spreads,Spreads,Harris-Lewis,vegan,"['eggs', 'nuts']",173,2025-06-07,2025-11-27,750,422.31,30,-80.845108,-89.345303
P0143,Everyone Meat,Meat,Johnson PLC,eggs,"['eggs', 'nuts']",153,2025-05-29,2025-10-29,250,385.88,50,88.3663665,-122.189419
P0144,Short Beverages,Beverages,Schwartz-Rodriguez,non-vegetarian,"['nuts', 'gluten']",45,2025-05-23,2025-07-07,750,127.37,50,54.6881775,-167.139912
P0145,Stage Sauces,Sauces,Hall-Ford,vegan,"['eggs', 'nuts']",89,2025-05-26,2025-08-23,1000,237.19,30,29.4293385,-115.515024
P0146,Fly Biscuits,Biscuits,Taylor Ltd,non-vegetarian,['nuts'],44,2025-05-22,2025-07-05,500,71.67,50,31.293259,177.621580
P0147,Tree Snacks,Snacks,Smith-Jones,vegetarian,"['soy', 'nuts']",81,2025-06-07,2025-08-27,750,445.38,20,76.5198265,18.963776
P0148,Because Spreads,Spreads,Johnson LLC,vegan,['dairy'],58,2025-06-11,2025-08-08,1000,51.73,20,-29.0028195,143.331646
P0149,Late Beverages,Beverages,Harmon Ltd,eggs,['dairy'],178,2025-05-28,2025-11-22,500,270.82,0,-9.5402965,32.835552
P0150,International Dairy,Dairy,Brown-Brown,eggs,['gluten'],120,2025-06-11,2025-10-09,250,320.93,30,-61.653571,153.389200
P0151,Occur Beverages,Beverages,"Lewis, Schmidt and Espinoza",vegan,[],94,2025-06-14,2025-09-16,250,285.33,10,68.7556445,-42.319945
P0152,Market Sauces,Sauces,Dominguez-Carroll,eggs,"['gluten', 'dairy']",98,2025-07-05,2025-10-11,250,387.32,20,-28.452301,2.198518
P0153,Top Snacks,Snacks,Hawkins-Ewing,eggs,['gluten'],141,2025-06-07,2025-10-26,250,99.52,20,37.510649,-21.257683
P0154,Morning Spreads,Spreads,Patrick Group,vegetarian,"['soy', 'nuts']",150,2025-05-17,2025-10-14,750,270.07,0,21.240400,-145.838967
P0155,Five Spreads,Spreads,Mcintosh-Acosta,non-vegetarian,"['nuts', 'eggs']",82,2025-06-15,2025-09-05,500,199.79,0,76.4573665,-86.831772
P0156,Open Biscuits,Biscuits,Rios-Mills,vegetarian,['soy'],132,2025-05-22,2025-10-01,1000,295.27,50,83.516333,128.557375
P0157,Rate Spreads,Spreads,Reeves Inc,non-vegetarian,[],180,2025-06-08,2025-12-05,750,98.31,20,-3.4714155,-42.799203
P0158,Site Cheese,Cheese,Cameron-Taylor,vegetarian,[],167,2025-06-23,2025-12-07,750,287.92,50,62.020744,133.119858
P0159,Need Snacks,Snacks,Mccarthy-Walker,non-vegetarian,['soy'],62,2025-06-23,2025-08-24,750,194.24,0,79.2647615,47.190966
P0160,Apply Beverages,Beverages,"Hess, Scott and Ruiz",vegan,['dairy'],31,2025-07-05,2025-08-05,500,218.31,50,4.361001,-80.083268
P0161,Research Cheese,Cheese,"Bailey, Cervantes and Smith",non-vegetarian,"['dairy', 'eggs']",89,2025-06-20,2025-09-17,750,100.51,40,-63.8160575,138.197551
P0162,Find Meat,Meat,"Walters, Smith and Sanchez",non-vegetarian,"['dairy', 'nuts']",144,2025-05-22,2025-10-13,250,87.15,50,70.6257385,-102.588623
P0163,Memory Cheese,Cheese,"Allison, Harris and Day",eggs,[],86,2025-06-08,2025-09-02,500,485.8,0,42.5226265,81.932193
P0164,Yard Dairy,Dairy,Huerta-Morgan,non-vegetarian,[],134,2025-07-05,2025-11-16,1000,199.6,20,-20.5964275,-116.019054
P0165,Reach Sauces,Sauces,"Smith, Garcia and Rivera",vegetarian,['soy'],145,2025-05-20,2025-10-12,250,250.77,30,-41.158788,54.008631
P0166,Certainly Beverages,Beverages,Carter LLC,eggs,[],167,2025-07-04,2025-12-18,750,130.62,20,33.377162,-140.331358
P0167,History Meat,Meat,Bell-Williams,eggs,[],73,2025-05-14,2025-07-26,250,210.04,20,-20.3155845,150.801679
P0168,Let Biscuits,Biscuits,Terry and Sons,eggs,"['eggs', 'nuts']",101,2025-05-19,2025-08-28,1000,423.86,30,60.9204225,85.258718
P0169,Still Sauces,Sauces,"Rice, Riley and Wright",eggs,[],44,2025-05-16,2025-06-29,250,453.54,50,-23.685721,58.001798
P0170,A Sauces,Sauces,"Miller, Hancock and Moore",vegan,['gluten'],142,2025-06-09,2025-10-29,500,141.21,20,-54.615682,-34.288992
P0171,Worker Cheese,Cheese,Sherman LLC,eggs,"['soy', 'gluten']",91,2025-06-08,2025-09-07,1000,358.39,10,-35.056623,-174.156808
P0172,Base Biscuits,Biscuits,"Johnston, Johns and Smith",non-vegetarian,"['nuts', 'dairy']",129,2025-05-16,2025-09-22,250,190.76,0,-66.9797055,20.679159
P0173,Late Snacks,Snacks,"Jones, Lee and Gonzalez",vegan,"['nuts', 'dairy']",104,2025-06-03,2025-09-15,250,118.58,40,48.480407,-35.440368
P0174,Reflect Dairy,Dairy,Martin-Johnson,vegetarian,['eggs'],45,2025-06-27,2025-08-11,500,138.16,40,86.425045,-169.265784
P0175,None Snacks,Snacks,"Vasquez, Austin and Williams",vegetarian,[],53,2025-05-13,2025-07-05,1000,388.86,50,-10.158013,179.628535
P0176,Training Dairy,Dairy,Chase-Conner,non-vegetarian,"['soy', 'gluten']",98,2025-05-31,2025-09-06,250,469.6,10,11.0043475,109.016689
P0177,Else Beverages,Beverages,"Reynolds, Bennett and Marshall",vegan,"['gluten', 'dairy']",114,2025-06-15,2025-10-07,750,407.79,30,89.417038,-124.505210
P0178,May Beverages,Beverages,Woodward Group,vegan,"['nuts', 'gluten']",170,2025-06-13,2025-11-30,1000,475.3,20,-74.9467215,-45.896597
P0179,New Biscuits,Biscuits,"Farrell, Page and Bennett",vegan,[],65,2025-05-16,2025-07-20,750,388.48,50,33.228802,-171.425292
P0180,Image Spreads,Spreads,Garcia-Smith,vegetarian,"['dairy', 'soy']",157,2025-06-15,2025-11-19,250,499.49,0,48.0900755,127.036120
P0181,Foreign Dairy,Dairy,"Rush, Foster and Cunningham",vegan,"['dairy', 'soy']",86,2025-05-16,2025-08-10,750,226.21,0,-50.4731735,146.303900
